fpr,tpr
0.0,0.0
0.0,0.01
0.0,0.06
0.019230769230769232,0.06
0.019230769230769232,0.07
0.057692307692307696,0.07
0.057692307692307696,0.22
0.07692307692307693,0.22
0.07692307692307693,0.48
0.09615384615384616,0.48
0.09615384615384616,0.52
0.11538461538461539,0.52
0.11538461538461539,0.54
0.1346153846153846,0.54
0.1346153846153846,0.63
0.15384615384615385,0.63
0.15384615384615385,0.69
0.15384615384615385,0.71
0.15384615384615385,0.73
0.17307692307692307,0.73
0.17307692307692307,0.74
0.19230769230769232,0.74
0.19230769230769232,0.78
0.25,0.78
0.25,0.79
0.3076923076923077,0.79
0.3076923076923077,0.81
0.3269230769230769,0.81
0.3269230769230769,0.83
0.36538461538461536,0.83
0.36538461538461536,0.84
0.4230769230769231,0.84
0.4230769230769231,0.87
0.5192307692307693,0.87
0.5192307692307693,0.89
0.5384615384615384,0.89
0.5384615384615384,0.91
0.5961538461538461,0.91
0.5961538461538461,0.92
0.6346153846153846,0.92
0.6346153846153846,0.93
0.6538461538461539,0.93
0.6538461538461539,0.94
0.6730769230769231,0.94
0.6730769230769231,0.96
0.75,0.96
0.75,0.98
0.7692307692307693,0.98
0.7692307692307693,0.99
0.9615384615384616,0.99
0.9615384615384616,1.0
1.0,1.0
